o_id,a_id
701,1500
1040,74
219,45
523,53
101,1
447,21
968,196
313,17
684,0
43,136
4442,950
1096,47
312,70
5483,1218
351,367
588,330
7812,2219
5010,13
43,852
820,4
6320,18
702,32
8,12
967,68
169,31
118,42
6115,17
51,31
212,10
2210,0
64,1
1800,86
1654,362
453,2
515,27
3,207
4923,47
12,7
187,43
2212,1034
55,16
124,565
3685,174
5279,120
163,147
133,567
1117,7
1,77
826,19
1490,10
261,292
1109,1364
3029,212
81,40
1079,124
353,1128
131,1276
336,9
2223,355
1000,32
375,168
1793,59
218,229
190,71
3456,1303
393,167
1543,0
56,103
19,93
8,2198
2960,1
321,133
2097,18
1148,5
682,25
6913,15
4,45
170,309
961,70
140,477
179,1
4308,90
8,183
1774,19
1018,0
1426,27
1232,854
40,232
259,6
116,1555
577,7
1331,170
155,169
74,11
2381,13
383,7
966,2
313,1046
253,1000
22,5
1947,3
183,50
3,440
1829,43
3096,17
713,3
4069,18
2623,76
187,164
196,62
0,321
680,483
1127,1
2740,95
57,257
661,5
43,306
2901,76
2479,26
1539,248
3152,6
158,1
105,13
7438,10
2527,366
1827,181
3313,21
2559,89
3617,61
1024,341
3038,9
0,141
2001,1599
523,347
1277,56
3065,30
133,112
4239,276
375,61
626,93
38,183
2548,51
6352,1581
1605,588
28,104
6552,14
14,47
436,453
934,76
703,385
62,283
2176,2070
7630,59
27,81
216,22
151,48
250,253
28,2121
40,83
26,138
2907,41
139,409
487,73
127,38
164,60
46,56
16,123
1374,10
576,67
762,2126
737,48
3,549
24,308
757,302
2190,101
139,37
1248,275
72,0
381,10
897,66
115,19
152,7
78,133
523,8
138,102
246,1487
34,55
1083,48
1007,8
96,484
963,110
4310,90
56,193
1047,699
976,114
1112,1258
2849,856
1856,1421
399,1920
3801,6
2980,53
57,842
1371,313
7754,6
1546,79
271,363
8,17
100,1023
84,484
967,99
492,1
554,4
5158,11
51,2
752,149
1764,22
1930,448
279,18
62,390
2,373
131,11
373,36
1369,91
13,83
4820,164
4525,0
511,234
573,123
453,45
7832,175
900,620
335,9
12,28
450,1265
14,1014
0,1152
1432,1085
28,1034
6457,472
1321,267
55,15
894,26
135,4
1,96
384,104
2319,404
1211,18
1504,24
441,218
30,4
0,87
256,193
2022,73
2777,191
906,7
2119,1924
253,310
7173,640
149,491
43,24
4626,280
8,320
137,60
4319,13
19,64
2529,160
2990,23
2563,67
696,11
18,11
7298,4
186,821
22,1431
373,885
564,2
3572,161
38,473
402,396
222,21
28,374
2978,26
3296,1
1028,38
643,192
3,2018
504,39
183,41
1587,207
8,1139
7919,111
1084,83
1234,704
955,33
263,38
129,6
846,437
78,35
11,38
2251,17
3512,4
8012,112
1218,1082
2584,646
902,52
3566,405
694,906
0,162
590,203
371,659
507,83
470,69
7881,1353
147,34
3028,115
744,38
66,46
679,0
2021,5
2797,1199
123,16
469,4
56,471
455,49
517,54
773,92
1695,469
2847,255
2704,7
118,277
28,5
5029,163
692,44
7460,197
4180,191
203,41
1289,54
574,8
1494,105
786,104
350,59
43,593
27,116
502,150
7563,37
142,295
2564,817
1,706
3,12
296,2
630,13
4199,32
1497,198
3534,27
0,1066
7467,175
81,685
710,4
4634,24
657,392
168,363
2590,98
500,0
382,36
723,104
1,142
220,54
139,56
418,977
314,46
1040,4
2473,11
115,54
1201,23
461,30
34,16
20,99
6,74
158,145
651,784
1045,64
3797,315
252,75
464,443
3589,79
321,326
450,98
2397,15
101,1675
2583,87
2325,323
440,163
1897,235
25,1275
1498,38
269,448
566,638
38,7
702,110
1571,759
635,89
2582,4
1,915
199,16
28,152
609,1751
81,1118
4844,89
1593,109
198,219
2,366
94,24
41,172
4,288
1844,90
2885,735
2968,37
248,279
174,3
1887,21
4499,1108
1426,286
93,241
3,249
1075,61
1679,313
201,48
3782,587
27,525
463,257
1763,326
163,221
135,35
1050,22
1,27
3253,73
485,59
826,89
1453,76
708,5
51,826
2655,48
101,124
48,376
1046,276
200,387
43,63
1348,68
232,116
1689,0
324,556
1200,211
100,11
1149,16
4727,191
19,39
5082,770
5103,1180
4902,25
113,17
4966,1168
1508,96
32,25
325,652
6839,67
589,1708
2044,112
2248,42
213,168
273,3
2591,67
4699,1346
2116,97
6062,573
448,23
487,142
6335,6
127,231
74,497
23,40
1155,307
2159,50
1526,0
4772,0
117,46
410,78
1445,38
329,22
1288,383
22,83
515,78
40,366
3,354
206,287
1843,28
462,133
231,1016
201,189
955,4
32,1409
129,57
6616,39
2,809
304,1
200,114
2972,419
125,153
1884,107
3829,736
67,0
1847,17
3845,11
362,588
0,199
295,48
650,1
9,159
959,25
1489,6
518,8
4165,1073
15,6
737,1158
497,461
545,31
1518,106
1338,468
1488,73
8,1867
222,361
706,10
1370,37
14,117
240,184
203,12
791,647
2441,1511
131,328
705,115
43,628
117,383
587,115
458,37
1,1048
3,19
884,518
720,1162
5137,9
1469,83
4383,69
7854,434
2,120
5911,18
4131,5
3791,845
359,218
456,395
571,274
382,9
315,80
656,116
1027,7
7514,13
3652,20
1,161
757,372
462,16
102,11
72,202
201,298
150,509
7,28
7220,78
0,278
537,49
1021,1
262,5
746,296
1281,35
1027,451
1781,320
589,206
8,543
831,145
335,1350
252,32
932,788
185,105
79,1073
194,233
67,141
2448,9
9,4
972,158
331,110
7191,225
8,91
3592,143
65,15
2547,1
3863,176
145,0
364,140
131,53
4572,1972
59,439
100,1381
453,83
2732,242
40,8
3,156
26,39
51,1672
932,7
53,986
733,45
281,60
101,387
96,13
82,48
135,62
1,62
6331,564
2575,24
176,4
766,105
367,38
1439,20
869,1628
72,1552
1690,114
0,97
897,149
2,563
205,24
380,2
57,481
2438,822
1452,48
1,2077
963,5
1149,11
289,167
19,10
5847,60
858,23
3038,297
5803,58
212,648
4,124
22,1517
27,309
435,24
75,1
1080,170
1322,43
6566,672
985,219
23,7
505,62
168,42
4401,20
2703,582
396,10
255,255
149,718
889,17
942,5
5961,380
861,203
3657,1660
40,371
24,536
757,10
206,256
2238,117
2337,260
106,15
159,27
92,46
3969,286
48,140
11,16
138,258
1097,135
3722,126
198,1170
96,152
495,0
7770,37
1871,100
54,1
4453,285
893,30
930,8
2787,75
0,252
76,303
470,19
825,0
6341,26
3858,50
2269,39
271,87
1239,2
4778,24
86,82
1543,74
2734,2
773,2
976,402
118,291
7693,22
51,358
3481,415
881,11
240,157
3773,920
32,137
5482,1218
7962,120
631,16
5417,18
84,196
10,1315
199,789
1105,1574
3,54
563,14
6333,544
28,387
5167,11
1725,268
60,44
2976,541
406,0
212,215
2,149
154,72
7674,990
804,2
619,5
183,116
153,1
65,1885
1481,115
2554,445
489,10
0,267
1586,105
537,84
3063,204
498,328
5600,445
3111,2
940,6
357,1720
3334,630
437,12
77,21
423,105
169,1114
63,198
2889,475
1352,45
674,41
208,91
67,144
5130,55
6577,79
3379,9
848,26
797,207
1816,9
255,541
4882,78
1034,1633
900,127
1128,112
132,1
886,768
28,82
5280,52
0,691
1033,3
1697,100
597,68
6710,32
154,283
5602,18
3558,52
3601,934
40,45
653,37
72,926
3079,64
55,252
1858,405
1344,19
1420,152
3346,1501
163,7
5991,33
31,4
718,326
257,79
907,21
962,1112
840,240
713,326
1197,236
314,251
1001,67
0,390
447,10
20,56
6530,1
1,1693
257,1168
194,25
503,1
1614,3
1584,114
4080,5
703,136
4650,7
401,226
2221,29
359,599
6262,1310
4375,19
38,104
1380,243
8,43
2030,13
250,2
19,429
155,61
445,332
1247,3
410,20
140,141
2675,90
126,482
329,92
610,55
495,555
2005,36
1682,9
197,93
3,300
743,198
252,1699
0,1866
7815,305
862,611
917,7
186,115
557,32
133,552
732,10
2052,36
128,184
370,327
441,16
1861,10
1847,43
0,17
2270,11
7536,54
1010,390
1406,312
80,94
1793,4
2232,685
575,0
19,122
1451,9
2011,113
655,9
2757,1827
136,13
1346,3
165,31
407,54
1080,26
4635,16
1813,638
4132,62
625,476
60,9
1842,1393
173,294
1985,11
140,0
5037,15
550,767
633,27
2066,296
1,383
4681,398
1919,228
1815,41
2660,23
1430,9
671,127
392,1135
1245,6
0,288
129,76
371,17
408,5
2740,62
1097,23
569,590
7955,76
1258,34
1,1851
437,55
3239,266
1723,5
2002,52
1905,775
321,439
4775,1
1024,308
1561,83
4593,491
7580,701
53,104
0,876
309,158
2053,916
3616,1
313,324
133,81
66,20
375,2
3113,9
1276,6
1532,120
393,333
3502,4
95,16
26,553
351,186
1536,44
1015,195
28,79
14,14
7958,10
5575,34
173,727
3607,16
122,1
530,24
705,6
27,62
2281,36
1156,26
3,70
370,1001
26,237
600,10
1649,49
653,0
4155,0
58,570
1199,21
5720,35
2,5
4022,85
101,585
7070,1365
1742,1060
73,488
241,719
384,252
2061,920
5453,1785
395,476
3836,149
0,1616
23,716
286,6
3206,275
4,1039
523,41
101,13
1466,75
2,1196
1366,1204
5936,102
1,1712
24,207
6716,104
2672,53
3836,345
150,898
1176,122
5713,118
527,10
1117,1334
8,48
2596,107
967,64
169,3
1716,257
1218,30
907,1309
7271,243
1100,94
330,22
2699,243
583,1
606,162
131,104
525,136
1830,27
2304,200
1952,117
515,31
141,353
0,1903
150,145
173,16
466,26
7766,1390
1155,92
362,91
3817,81
385,0
4936,5
41,678
675,419
2003,241
4072,1621
149,72
557,59
769,43
1,65
6076,401
5398,653
7960,2242
81,44
30,103
2692,0
0,54
309,52
399,182
906,38
1595,6
3835,81
20,168
7664,2195
3260,1950
2806,140
204,12
919,669
116,704
854,434
2084,54
19,97
402,43
8,2202
1308,595
247,31
4768,71
203,93
4959,163
1157,995
4,41
3344,42
66,894
730,265
179,5
1175,515
467,382
7961,127
296,118
6808,5
2637,327
911,530
23,82
2337,931
1028,5
7222,27
606,41
899,75
260,759
140,29
73,70
7609,55
59,151
2057,141
315,1
979,102
672,590
1910,19
183,14
386,300
2204,347
215,409
224,52
277,54
263,7
6775,2
5478,25
1229,924
78,2
2839,657
292,612
1145,358
220,2147
988,812
347,92
522,296
7124,95
90,153
1102,22
0,129
399,59
39,96
1418,113
613,75
7252,194
3450,68
505,2243
744,5
797,5
3459,56
4,2227
38,171
972,45
294,1
483,72
485,698
70,600
623,388
6236,211
28,100
3354,32
293,88
1238,18
7342,256
1298,159
2,506
772,10
41,0
13,218
38,375
40,87
653,27
164,56
2009,2024
23,231
3861,211
83,72
46,60
2286,5
2,62
177,12
126,249
59,32
40,2104
45,13
2603,99
93,769
3292,589
176,83
328,110
2199,997
2422,1
1480,505
698,26
20,2
1415,13
859,5
8,729
3721,111
275,37
4494,0
2886,45
72,1915
53,152
436,16
1840,6
76,15
392,86
4038,184
873,556
859,449
716,78
1050,1306
4042,6
8,21
947,2190
2504,40
1603,7
554,0
600,1918
3036,30
51,6
1393,7
344,60
23,436
454,80
2,369
1551,13
1293,269
101,773
5717,118
1703,326
13,79
1341,1
149,639
4165,21
3705,380
40,450
139,278
141,380
3557,32
187,2
159,104
4800,506
2731,5
3335,257
55,11
2242,74
387,597
998,89
1994,46
1876,78
1198,54
135,0
1117,62
68,37
453,621
1,100
125,37
162,17
58,238
1552,42
6208,18
30,8
2178,695
0,43
590,64
1987,375
774,10
43,28
1846,430
232,83
271,4
589,9
38,785
7228,140
460,67
86,13
3576,603
6275,531
14,201
270,119
588,214
166,4
5033,200
341,34
1104,124
18,7
4052,0
4,54
1256,71
2871,50
179,40
1892,124
61,20
6663,7
711,62
1271,6
88,29
178,163
53,801
74,16
60,67
634,40
2263,0
302,0
657,23
117,15
714,83
698,700
36,59
453,158
7396,69
49,1
395,29
662,61
2476,1104
941,10
747,327
32,1440
129,26
2512,680
78,39
253,3
2622,100
36,511
2797,2
3710,1378
38,704
1372,150
270,390
0,166
498,223
3238,143
2786,198
6070,333
255,1033
133,7
3051,54
248,1337
1,1469
2970,48
469,0
28,1
14,84
203,45
277,814
41,43
4156,19
875,1712
2827,37
70,57
1119,54
40,124
349,238
946,64
268,84
125,1607
487,32
74,135
0,1070
1506,8
2826,102
353,68
23,194
3015,606
16,20
325,22
154,142
1468,35
6675,37
165,526
993,133
619,463
2873,163
8,1250
891,1871
118,1425
139,60
2907,396
1174,100
404,168
196,74
129,151
537,18
1699,276
461,26
1249,263
7814,410
43,326
6,78
580,103
195,3
7182,16
2564,40
4799,4
769,464
1200,92
6972,20
778,14
356,22
5,159
450,126
0,817
136,209
48,525
673,30
3298,113
3720,5
7953,241
29,299
6139,487
38,59
1380,2
469,149
146,152
65,488
30,830
1160,197
2609,47
2480,229
3943,1779
1143,3
131,18
4,300
2719,183
594,1084
4539,22
573,82
188,48
121,19
174,7
5811,5
757,102
794,144
3011,26
3315,72
162,582
865,13
173,198
1116,578
2,942
27,513
945,6
737,164
82,19
29,568
1,31
6859,10
370,278
8,877
1942,5
125,0
261,470
6441,262
30,45
3077,40
0,64
4542,64
55,746
1842,312
461,143
447,76
57,2
1567,158
43,51
3228,938
1557,5
51,506
180,30
164,699
473,12
62,222
341,13
18,32
3468,61
8,229
70,871
273,7
4469,27
1640,1
1322,10
2621,627
1308,41
88,2
344,172
0,1480
23,36
1835,329
454,480
36,0
875,3
448,2124
1968,864
1458,62
224,14
314,896
263,57
618,178
528,86
1141,6
41,729
131,603
50,537
2569,67
1221,15
7452,1
543,23
6449,718
38,677
497,901
24,51
8,920
2891,41
570,2
67,4
0,219
1358,74
2240,20
3252,149
3660,58
650,13
1992,0
4883,17
2279,141
110,21
147,13
57,143
797,91
2035,19
15,2
100,186
190,60
2815,13
1926,49
2296,9
4923,667
2538,74
51,327
3483,262
1930,143
203,0
445,67
32,168
1835,6
23,2206
57,587
1821,39
1108,1944
246,17
601,6
1493,7
4426,1622
4739,27
40,129
1052,10
3,23
3534,0
72,562
127,20
23,185
46,10
180,1080
576,17
7909,430
260,684
2498,35
140,970
73,57
3466,2
1786,15
610,368
5645,79
116,104
462,20
102,15
139,19
632,6
1093,135
671,49
2745,301
0,490
182,6
152,213
3775,8
1325,69
5249,81
22,1582
603,421
732,327
1225,450
3774,67
1338,35
208,58
4906,25
1897,242
313,386
2094,105
3180,10
564,205
15,151
3392,26
8,95
598,36
1977,27
1336,141
4801,7
56,331
19,321
5384,2
51,208
201,707
325,866
145,4
2,391
38,2109
573,1704
13,5
253,640
40,12
3,128
6898,5
26,35
6220,25
351,688
2958,600
2614,206
432,342
3605,184
784,10
2883,136
2242,0
281,0
96,1
1002,109
361,99
128,780
485,2
125,123
0,1562
404,24
1536,1017
941,271
30,54
710,596
2602,213
0,101
219,107
883,0
2173,1872
101,67
5738,69
1563,1345
218,80
8,654
831,6
778,414
100,28
118,1997
2928,201
56,154
19,14
312,4
5594,31
5,47
833,422
194,120
602,109
88,747
1229,0
1817,316
473,55
904,215
1925,302
659,79
198,419
2024,231
260,2
578,5
3240,58
193,33
3060,3
75,5
3062,593
8,202
155,26
307,455
1365,4
1773,135
62,639
1314,962
198,111
2415,143
2897,132
168,46
22,72
211,1
121,131
4264,431
31,810
4296,0
1102,1198
1711,4
482,679
466,224
2450,25
385,78
48,128
1060,25
1083,360
253,89
200,91
292,523
495,12
557,1
149,142
3973,331
7627,0
215,114
1197,66
427,2
1462,46
454,1037
295,11
703,926
265,204
929,181
57,114
20,354
940,467
375,110
1371,17
308,37
1110,702
190,1
1368,1117
56,37
65,169
1370,74
321,71
51,362
934,19
415,922
350,101
5007,531
27,130
3609,520
82,1067
216,73
520,1
6557,3
1345,43
630,223
10,834
65,277
5089,22
88,178
60,40
406,4
6300,346
680,101
2,145
3814,63
3429,19
3585,108
372,191
2660,54
187,226
4339,156
3404,4
940,2
1094,423
5168,100
513,112
1103,159
7352,2137
3,946
1163,26
3663,787
185,80
67,148
30,296
6180,184
341,206
555,8
1802,96
808,587
1536,11
3806,17
0,695
2620,739
682,334
41,94
27,31
728,128
984,42
269,118
679,559
6186,275
400,122
734,5
40,17
2630,750
268,1
141,269
2893,24
1492,32
362,55
16,185
76,969
163,11
20,640
7058,16
45,83
31,0
400,710
1,213
257,67
139,99
125,86
72,94
6983,223
58,17
132,760
286,97
101,46
765,23
585,1681
7722,23
403,180
3159,423
6493,17
232,34
292,1220
33,32
342,42
70,1361
418,506
2169,62
194,21
88,528
1280,24
1404,7
392,16
2001,83
8,47
672,22
3691,191
540,21
833,5
118,9
448,37
2780,46
2279,602
2466,149
198,0
410,16
728,11
50,11
7293,26
149,693
225,23
1274,26
504,218
1,486
3,272
2280,69
409,73
969,1
53,1110
662,108
2134,19
2464,11
7808,5
196,406
1448,177
917,3
573,609
4723,77
414,7
128,188
229,12
533,68
5363,10
1538,59
30,70
549,1278
1462,67
0,21
1662,226
57,85
43,102
3014,9
7883,485
460,133
1917,1
8,286
190,106
1158,5
402,10
42,37
7799,702
298,203
3550,137
180,171
270,45
0,593
496,192
763,2
4,8
1346,31
908,614
216,110
282,136
856,45
141,115
7776,105
487,241
383,32
980,86
3960,38
325,103
76,1075
2,138
22,56
686,19
338,133
324,176
2488,46
1,371
2474,1
116,50
1481,90
2358,695
67,383
894,451
2952,10
4442,43
1629,45
158,100
1871,16
674,1659
2587,310
845,150
77,108
319,51
6469,79
1591,6
7822,2
39,1
5969,11
9,246
2786,140
878,0
1344,900
57,226
2131,65
170,67
133,93
412,4
331,92
3,1301
8,393
5977,290
517,8
222,262
2093,22
169,154
351,166
1054,289
141,1828
14,18
805,269
7165,11
7227,240
1261,116
175,5
57,670
135,1095
57,1083
6629,303
2827,111
151,109
70,7
3,74
169,342
600,14
231,16
733,1562
934,559
187,406
558,139
321,1176
55,151
2,1
2816,361
4103,2
1168,233
7989,2
206,3
854,895
139,70
3813,94
46,2172
404,98
604,1
180,521
0,447
2948,35
2,581
385,331
756,452
3605,2023
523,45
1187,2
87,106
313,25
6,20
2179,4
3214,92
522,126
3018,13
1006,102
150,902
7859,23
1370,269
858,89
76,46
4507,5
1897,165
1256,59
5044,292
66,231
449,21
1793,354
1046,1058
5357,36
3,1438
8,52
2044,35
2209,1541
56,288
169,7
478,27
1167,87
88,113
51,103
2210,24
1669,2
198,37
373,1
1023,91
36,983
59,286
7913,152
248,341
7758,16
476,189
116,340
42,1363
12,63
4856,2
187,35
2494,13
3944,705
1141,119
18,1403
719,1
6038,4
5586,63
200,5
225,438
3846,1
68,4
54,83
1,69
2550,6
614,59
499,128
3424,1027
3449,944
185,145
5197,313
81,32
579,289
0,10
1049,1
309,48
1969,112
1143,726
336,1
1258,280
2589,678
190,79
750,7
56,111
51,308
270,86
422,189
1558,974
131,285
4,21
27,220
806,102
3272,1728
61,53
8,191
3772,21
1018,8
1080,3
86,488
17,55
192,59
420,27
2254,813
4526,251
60,98
154,26
3828,2
1867,2
1136,8
140,25
6,630
183,10
2651,230
766,433
713,11
162,259
3006,68
263,3
489,52
270,805
2549,392
371,56
864,247
43,298
451,1
128,44
33,481
494,16
28,1724
1102,26
2175,6
3134,367
7141,1253
29,183
3629,968
1343,10
1827,761
3133,190
19,238
2282,122
51,129
985,3
5280,2
166,210
482,31
32,210
2196,317
2,502
94,112
41,4
27,41
7496,35
1615,781
84,29
785,22
40,91
3,81
1308,230
26,146
487,65
1801,291
5446,95
6607,713
1411,4
1729,1
3024,146
2,58
311,36
36,205
6440,369
158,824
3560,2
381,2
879,263
4323,1533
360,259
152,15
461,59
523,0
712,71
3655,744
20,14
1362,1
2026,40
474,41
8,733
393,5
485,407
2169,4
261,6
194,43
3612,963
180,106
2051,242
9,70
523,460
3720,36
583,724
1337,16
133,237
1846,147
359,517
2230,295
1138,28
716,74
8,25
1057,2
1061,1190
554,12
2513,418
155,75
51,10
2231,312
957,50
1683,16
5185,16
6890,434
883,834
4,259
329,142
942,440
121,44
467,24
107,1
70,151
1,444
1398,65
1075,30
187,6
6059,929
376,77
874,180
18,1300
99,1135
4885,59
87,1686
126,104
827,71
6878,330
1477,1
1539,26
257,406
2527,392
3,662
1073,444
116,821
148,104
1688,542
323,2
0,47
138,149
1173,75
4235,1266
57,35
2364,25
721,4
43,16
5325,1
3996,23
271,0
128,306
190,80
5274,1188
144,1400
56,84
2690,427
51,475
58,1093
1404,108
5049,1609
4,50
2221,68
631,93
170,326
2044,915
8,132
2573,640
250,91
222,29
259,21
17,1975
1123,27
37,232
74,28
23,69
5660,75
302,4
966,31
4175,63
207,137
6332,1946
373,177
36,39
329,59
5191,480
2042,1
5288,1
3809,334
3,327
547,258
2494,413
2,2209
152,169
334,81
3568,1605
36,507
20,992
43,449
1922,5
24,18
3,771
264,513
10,109
185,1
4858,1156
171,50
768,0
3568,1
265,10
2636,753
3065,9
133,3
218,157
972,6
241,20
1313,70
17,379
28,29
51,164
3914,1
867,6
5086,39
6406,69
184,498
5821,265
387,55
27,76
654,27
947,15
1318,2
329,356
22,833
2760,4
1940,601
1834,36
70,61
1169,92
4104,1067
1669,263
2,87
3676,79
7501,508
500,8
562,63
550,548
1659,276
59,27
6599,1
294,1382
248,80
1410,96
1,134
220,14
1269,5
257,60
3269,705
116,79
206,201
4044,713
1511,72
2296,1184
1552,328
1093,120
537,22
461,22
2830,81
154,590
6574,18
684,50
43,186
6,66
158,153
7242,259
859,60
370,35
319,110
2199,384
169,625
976,143
5,155
503,114
911,155
6263,1310
122,930
2477,0
15,244
38,63
1057,101
6021,25
8,126
4319,1891
955,1082
425,91
51,49
2305,81
1033,93
4625,67
530,65
696,297
41,148
373,87
13,38
573,110
2428,5
1154,541
1,599
1626,265
26,2
1407,248
201,56
1102,1026
3287,242
187,509
2798,421
270,996
1155,10
2309,78
2869,134
186,174
1454,133
873,296
361,92
287,876
1,19
974,46
176,39
1222,2084
58,215
7257,0
30,17
217,558
0,68
23,1208
5178,44
650,386
906,104
87,49
57,6
43,55
525,1127
29,120
271,47
1557,1
19,47
4877,636
826,421
42,116
298,26
4902,17
247,45
1024,40
51,510
473,16
4717,14
1185,91
8006,94
32,17
1427,2
2017,742
4,95
1664,23
193,2
3189,90
2329,134
8,233
4028,193
1170,435
6144,60
169,442
26,469
6704,36
88,6
360,1323
434,14
657,46
2,253
198,1589
36,12
3710,16
7223,2113
225,93
174,150
179,1384
785,275
19,935
40,342
921,243
4667,16
102,148
893,759
1354,123
2432,612
254,83
662,42
1349,164
1141,2
6348,990
1542,1388
638,4
149,175
3182,5
723,262
135,396
7841,363
125,145
508,31
879,504
5372,1771
3158,109
1324,155
5,1841
4018,617
0,223
87,330
518,0
1987,267
5044,0
15,14
3,1250
100,166
6684,2014
123,15
1873,33
1488,65
365,198
402,80
2386,115
1167,179
127,476
0,539
240,176
203,4
198,377
622,769
1360,154
41,50
80,600
495,1189
601,10
1830,307
151,2
5986,135
4605,380
2206,90
4729,24
127,16
164,238
3031,26
429,254
122,368
6570,0
4839,116
2,112
311,254
1701,145
126,171
36,183
6,539
1,185
24,710
2612,225
462,24
118,1422
2317,443
5352,755
72,242
56,727
254,222
314,19
44,136
1667,76
196,83
604,112
27,1259
1083,2
4465,1563
357,1733
873,2
319,117
2914,29
496,1374
360,137
703,32
4613,9
5314,134
350,887
5196,166
133,147
119,46
2064,64
29,322
2767,142
3763,1
38,16
294,110
575,459
8,67
635,180
1202,710
65,7
3458,56
957,8
7213,3
1261,58
2,387
94,37
4,309
3106,456
2864,35
1952,56
559,10
26,47
28,625
2162,5
3439,18
2745,2
514,187
4643,66
1701,6
2855,978
126,86
163,40
186,139
135,54
1,54
723,1661
8,886
2204,119
10,300
766,145
56,610
826,74
58,48
4078,8
2669,22
390,19
2321,70
0,121
883,4
78,294
523,119
6664,883
43,202
4647,79
232,1
3332,18
640,56
1827,413
137,18
5419,15
674,219
12,982
4817,433
19,18
2114,1052
0,2138
2141,1
180,7
3190,4
1035,335
1314,282
2558,122
105,849
36,597
4142,1833
365,2123
8,206
635,449
2979,35
1518,260
3691,156
937,55
448,4
